ptid;enid;name;fullname
NVDB_GJENTAKELSESINTERVALLVÆRUTSATTVEG;;flereGangerPerMåned;
NVDB_GJENTAKELSESINTERVALLVÆRUTSATTVEG;;flereGangerPerÅr;
NVDB_GJENTAKELSESINTERVALLVÆRUTSATTVEG;;1til2GangerÅrlig;
NVDB_GJENTAKELSESINTERVALLVÆRUTSATTVEG;;hver2til5År;
NVDB_GJENTAKELSESINTERVALLVÆRUTSATTVEG;;sjeldnereEnnHvert5År;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;snøfokk;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;vind;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;bølger;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;stormflo;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;flom;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;sandflukt;
NVDB_HOVEDPROBLEMVÆRUTSATTVEG;;isgang;
NVDB_HØYFJELLSSTREKNING;;ja;
NVDB_HØYFJELLSSTREKNING;;nei;
NVDB_HØYFJELLSSTREKNING;;uavklart;
NVDB_KJØRINGTILEIENDOMMENETILLATT;;ja;
NVDB_KJØRINGTILEIENDOMMENETILLATT;;nei;
NVDB_KLASSELANDBRUKSVEG;;helårsBilveg;
NVDB_KLASSELANDBRUKSVEG;;helårsLandbruksbilveg;
NVDB_KLASSELANDBRUKSVEG;;landbruksbilveg;
NVDB_KLASSELANDBRUKSVEG;;sommerbilveg_TømmerbilMedHenger;
NVDB_KLASSELANDBRUKSVEG;;sommerbilveg_TømmerbilUtenHenger;
NVDB_KLASSELANDBRUKSVEG;;vinterbilveg;
NVDB_KLASSELANDBRUKSVEG;;traktorveg;
NVDB_KLASSELANDBRUKSVEG;;enkelTraktorveg;
